school,subject,criterion,by_all,by_year,by_gender,by_ethnicity,students,achievement,total
Maraeroa,Reading,After 1 year at school,false,true,false,false,1.0,Above,19
Maraeroa,Reading,After 2 years at school,false,true,false,false,5.0,Well below,21
Maraeroa,Reading,After 2 years at school,false,true,false,false,10.0,Below,21
Maraeroa,Reading,After 2 years at school,false,true,false,false,6.0,At,21
Maraeroa,Reading,After 2 years at school,false,true,false,false,0.0,Above,21
Maraeroa,Reading,After 3 years at school,false,true,false,false,2.0,Well below,22
Maraeroa,Reading,After 3 years at school,false,true,false,false,12.0,Below,22
Maraeroa,Reading,After 3 years at school,false,true,false,false,8.0,At,22
Maraeroa,Reading,After 3 years at school,false,true,false,false,0.0,Above,22
Maraeroa,Reading,End of Year 4,false,true,false,false,1.0,Well below,17
Maraeroa,Reading,End of Year 4,false,true,false,false,10.0,Below,17
Maraeroa,Reading,End of Year 4,false,true,false,false,6.0,At,17
Maraeroa,Reading,End of Year 4,false,true,false,false,0.0,Above,17
Maraeroa,Reading,End of Year 5,false,true,false,false,3.0,Well below,18
Maraeroa,Reading,End of Year 5,false,true,false,false,12.0,Below,18
Maraeroa,Reading,End of Year 5,false,true,false,false,3.0,At,18
Maraeroa,Reading,End of Year 5,false,true,false,false,0.0,Above,18
Maraeroa,Reading,End of Year 6,false,true,false,false,6.0,Well below,22
Maraeroa,Reading,End of Year 6,false,true,false,false,11.0,Below,22
Maraeroa,Reading,End of Year 6,false,true,false,false,5.0,At,22
Maraeroa,Reading,End of Year 6,false,true,false,false,0.0,Above,22
Maraeroa,Writing,After 1 year at school,false,true,false,false,4.0,Well below,19
Maraeroa,Writing,After 1 year at school,false,true,false,false,15.0,Below,19
Maraeroa,Writing,After 1 year at school,false,true,false,false,0.0,At,19
Maraeroa,Writing,After 1 year at school,false,true,false,false,0.0,Above,19
Maraeroa,Writing,After 2 years at school,false,true,false,false,1.0,Well below,21
Maraeroa,Writing,After 2 years at school,false,true,false,false,17.0,Below,21
Maraeroa,Writing,After 2 years at school,false,true,false,false,3.0,At,21
Maraeroa,Writing,After 2 years at school,false,true,false,false,0.0,Above,21
Maraeroa,Writing,After 3 years at school,false,true,false,false,5.0,Well below,22
Maraeroa,Writing,After 3 years at school,false,true,false,false,12.0,Below,22
Maraeroa,Writing,After 3 years at school,false,true,false,false,5.0,At,22
Maraeroa,Writing,After 3 years at school,false,true,false,false,0.0,Above,22
Maraeroa,Writing,End of Year 4,false,true,false,false,2.0,Well below,17
Maraeroa,Writing,End of Year 4,false,true,false,false,14.0,Below,17
Maraeroa,Writing,End of Year 4,false,true,false,false,1.0,At,17
Maraeroa,Writing,End of Year 4,false,true,false,false,0.0,Above,17
